国家,行政区名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Lebanon,Jezzine,0.8,0.8280630860731406,149.99400421610355,0.3293219392612765,0.0,✓
Lebanon,Sour,0.8,0.9754761688028721,149.99968486116282,0.5826912279297803,0.0,✓
Lebanon,West Bekaa,0.8,0.5677550713178029,149.9953738305221,0.5237732861103046,0.0,✓
Syria,Arihah,0.8,0.9052868688435252,149.9996385814568,0.3617138380544349,0.0,✓
Syria,Jisr ash-Shugur,0.8,0.06538645568001183,149.9988449363065,0.15720032089497224,2.921530641852854e-07,✓
Syria,Latakia,0.8,0.694325727538605,149.99969746255263,0.23550088186802057,1.2285283901292132e-11,✓
Syria,As-Suqaylabiyah,0.8,0.8787758257948102,149.99974666786832,0.24937489557180664,0.0,✓
Syria,Al Qamishli,0.8,0.2053692641603107,149.99892151070702,0.08800214568717837,1.25129491096998e-05,✓
Syria,A'zaz,0.8,0.8437408640541453,149.99984748506424,0.1355170181332267,3.231304113171518e-13,✓
Syria,Ma'arrat al-Numan,0.8,0.86261580984872,149.99987946012186,0.16225962693223095,2.8660407380698416e-13,✓
Lebanon,Baabda,0.7771905699155672,0.7398526153138956,149.99616116601717,0.583429405137998,0.0,✓
Palestine,Deir Al-Balah,0.7667354050907527,0.9530127104246271,149.99979782915247,0.3144629601001226,0.0,✓
Lebanon,Zahleh,0.7355288453711413,0.5125510046115578,149.99114045299498,0.3783342263957025,0.0,✓
Syria,Idlib,0.7098113411231293,0.8970519463295377,149.9996544634166,0.3555946139813264,0.0,✓
Syria,Al-Haffah,0.6536402529051472,0.01,149.99888105478124,0.1499531981818856,0.0001983080867586362,✓
Israel,HaMerkaz,0.6435498944216843,0.4193857161880394,149.99950258506212,0.1183063197284077,2.1325621339385314e-06,✓
Syria,Al-Malikiyah,0.6070294116439782,0.01,149.9998195315307,0.09912581276148419,0.00041103852340712566,✓
Lebanon,Jubail,0.3373876245603149,0.19446607513908654,149.99164340134215,0.3782324929103963,2.3349544520101517e-11,✓
Lebanon,Aley,0.33652610356692314,0.49798498714264633,149.99585214423104,0.42792254397327173,0.0,✓
Syria,Zabadani,0.3177553323995156,0.01,149.9985552535209,0.2838538324646461,4.924718894905311e-07,✓
Syria,Mayadin,0.3086599686305244,0.7082153871902281,149.99999467648604,0.0646525346429465,0.02050290375312458,✓
Yemen,Hays,0.30229780362297537,0.19543381458154574,149.99985152026923,0.034525231825645,0.08972569870076502,
Palestine,Ramallah and Al-Bireh,0.24844358324664356,0.01,150.00154877565464,0.09956940592638189,0.00345203859108395,✓
Lebanon,Chouf,0.2473385598586689,0.22898822975335092,149.9959707217224,0.3134719251758409,1.0428068464296558e-08,✓
Syria,Salkhad,0.21256454379002465,0.01,150.00018917476532,0.022224635105530875,0.11524152487011208,
Lebanon,Beirut,0.15736019682509714,0.5826008708698501,149.9977164717202,0.2701869170027524,8.058031464308613e-10,✓
Palestine,Salfit,0.11571989575724806,0.24514870435741848,150.00180746099127,0.055966261867364656,0.0019923448922862796,✓
Lebanon,Kasrouane,0.10927477992083981,0.34712687326658603,150.0012657907664,0.2810195830803462,1.0159992410274654e-05,✓
Yemen,Al Ma'afer,0.10573049292122438,0.39793268879393023,149.99984549406165,0.08948928753295424,0.015824588347944257,✓
Syria,Palmyra,0.09992425133374332,0.6995641941577264,150.0000012651722,0.03174914084451391,0.19437933841088484,
Yemen,Harib,0.09526117001053386,0.41990984898554173,149.99977700927576,0.012948166016762288,0.19595308511361575,
Syria,Al Bab,0.08853206430581118,0.9678223128343059,149.9999566586523,0.19663501148874288,2.9888980179748614e-11,✓
Yemen,Ad Dhale'e,0.0749337846544602,0.8511462281350408,455.03109131492596,0.08483153621128622,0.012414269479935236,✓
Yemen,Al Abr,0.07099961557598569,0.01,149.9978396128185,0.014287998729942865,0.30483891880033653,
Yemen,Qa'atabah,0.06656680700659119,0.7674103749576255,149.99999064688865,0.024379466780635593,0.21001297143778713,
Palestine,Hebron,0.06408627617550454,0.6269870660822943,150.000393786965,0.03697436563584735,0.12826641641488,
Yemen,Shada'a,0.06325525061520296,0.8422827951951941,149.9997888570079,0.013337531126023993,0.1893134208450612,
Yemen,Razih,0.05852101817821594,0.5539448114668463,149.99829987326385,0.019585935891424953,0.12491238872638755,
Palestine,Zahedan,0.05233863772955815,0.40169506370798863,149.99946918320828,0.07629877534081525,0.07062163394140664,
Syria,Ar-Raqqah,0.04955693462270033,0.6966099556970042,150.00000071503555,0.010209898419218431,0.3790861471725803,
Palestine,Jerusalem,0.04568573107435841,0.5671646533101427,150.0006215459461,0.06939729729692436,0.05913373896471763,
Palestine,Khash,0.04309615581921195,0.01,149.99812728723847,0.07673362995864677,0.056308730489136594,
Yemen,Usaylan,0.04292228786375695,0.017539084732233666,149.99752064444218,0.02563920121113494,0.16503308692289353,
Syria,Markaz Rif Dimashq,0.04264443318578699,0.9675322142388603,150.00017562345704,0.1287866887671853,4.453498168394132e-05,✓
