区ID,区名称,州名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
217,Ivanivs'kyi,Kherson,0.130064641322493,0.6143280588118456,0.17546122873812617,4.1133586533959043e-05,True,17
352,Lysychans'ka,Luhans'k,0.12779284974753324,0.8255892739321397,0.5999001554800675,1e-10,True,177
289,Podil's'kyi,Kiev City,0.12729715469367203,0.7643554026049517,0.24425171134154489,1.29252098191035e-07,True,15
489,Seredyno-Buds'kyi,Sumy,0.12698903423621685,0.872756268719588,0.6854151693974398,1e-10,True,2859
192,Kharkivs'kyi,Kharkiv,0.12548516991475667,0.8614596536782381,0.6420823083957988,1e-10,True,1573
187,Dvorichans'kyi,Kharkiv,0.12542421190191233,0.8729095807730107,0.8764069634093764,1e-10,True,2299
265,Irpins'ka,Kiev,0.1250152469831464,0.8536703116066819,0.507547979089999,1e-10,True,54
124,Iasynuvats'kyi,Donets'k,0.12335832182832228,0.8731844731987016,0.7472114198289351,1e-10,True,4523
134,Krasnolymans'kyi,Donets'k,0.12121139604325665,0.8530016458304726,0.453054516366126,1e-10,True,1829
334,Stryis'kyi,L'viv,0.1191461360932178,1e-06,0.11914223852472516,0.021551599371600783,True,8
383,Novoodes'kyi,Mykolayiv,0.1191332839062764,1e-06,0.1191422385247259,0.021551599404284028,True,8
194,Krasnokuts'kyi,Kharkiv,0.11912422507910925,1e-06,0.09518634694819736,0.02155153880086963,True,8
219,Kalanchats'kyi,Kherson,0.11911917781775153,1e-06,0.1191422385247259,0.02155159994283562,True,8
133,Krasnolymans'ka,Donets'k,0.11904919354097997,0.7615668624012789,0.24683164907671445,5.996025120857951e-09,True,22
186,Derhachivs'kyi,Kharkiv,0.11840579107002475,0.8614032977597186,0.6438027372502099,1e-10,True,1539
228,Velykooleksandrivs'kyi,Kherson,0.11782355771541247,0.8640553779777885,0.688372056101094,1e-10,True,434
581,Huliaipil's'kyi,Zaporizhia,0.11701101672898599,0.7804744538128955,0.686579685930345,1e-10,True,4832
475,Hlukhivs'kyi,Sumy,0.11684404478614445,0.8820376536004454,0.7514118988630454,1e-10,True,4032
210,Zolochivs'kyi,Kharkiv,0.11668655020074628,0.869166365795746,0.5666628765735032,1e-10,True,1745
85,Dnipropetrovs'ka,Dnipropetrovs'k,0.11601197014343384,0.13443637405217332,0.11210609391466252,0.00014291055712484235,True,222
365,Stanychno-Luhans'kyi,Luhans'k,0.11562911411183524,0.7864239777807999,0.20336694201066874,1.5556954252593513e-07,True,17
258,Borodians'kyi,Kiev,0.11516260818334197,0.8506653771387749,0.3193137549990303,1e-10,True,14
189,Iziums'kyi,Kharkiv,0.11458932465032334,0.8699380359296524,0.6657935295339206,1e-10,True,257
137,Mariupol's'ka,Donets'k,0.11365188240146978,0.8393434575376886,0.48156361379908597,1e-10,True,123
584,Kuibyshevs'kyi,Zaporizhia,0.11295003406004524,0.7800115128999799,0.250965291606327,1e-10,True,50
476,Iampil's'kyi,Sumy,0.11128745862324953,0.8892327431007168,0.6340747237589629,1e-10,True,802
385,Pervomais'ka,Mykolayiv,0.10943694541015327,0.8011999046476685,0.20087082487636593,2.649073511118427e-05,True,7
130,Kramators'ka,Donets'k,0.10934294336177917,0.827539248924634,0.30311993573513846,1e-10,True,463
196,Kupians'kyi,Kharkiv,0.10457035611884395,0.895065867770689,0.6794260629864745,1e-10,True,2244
591,Pryazovs'kyi,Zaporizhia,0.10429373991312005,1e-06,0.10441092516753349,0.028342059942804088,True,9
78,Saks'kyi,Crimea,0.10396790539156696,0.1208861510947794,0.08724648236683272,0.006604999697353953,True,25
