区名称,州名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Kostiantynivs'ka,Donets'k,0.5665940945539794,0.774301883808929,150.00203680489628,0.26892922521897894,1.6653345369377348e-16,✓
Seredyno-Buds'kyi,Sumy,0.5534107813618792,0.9569853332506122,149.99977798259005,0.30053836033991893,0.0,✓
Melitopol's'kyi,Zaporizhia,0.5453365773608045,0.036528247485318105,149.9984443942222,0.11743152308642031,8.227611643646382e-05,✓
Shchors'kyi,Chernihiv,0.5186430530350725,0.8997619459694701,149.9997000804293,0.21284479266000653,0.0,✓
Artemivs'ka,Donets'k,0.482181174358283,0.7802126649265181,149.9987995345829,0.1237767551194466,6.291274460279439e-07,✓
Orikhivs'kyi,Zaporizhia,0.4509761146919737,0.984279943425674,149.9972624072003,0.5070482062405599,0.0,✓
Kostiantynivs'kyi,Donets'k,0.42851636106323454,0.9459806491816943,149.999910108436,0.39025057019375853,0.0,✓
Zaporiz'kyi,Zaporizhia,0.39676390481651486,0.6777132169507379,150.00126662559484,0.1766861409688784,2.7667762525496187e-10,✓
Velykonovosilkivs'kyi,Donets'k,0.39087675232756935,0.9814267823617412,149.72901060846644,0.5006803187632861,0.0,✓
Buryns'kyi,Sumy,0.37833815167879437,0.08122610114452387,149.98932895782625,0.09419692793053744,0.0008132757582227645,✓
Bereznehuvats'kyi,Mykolayiv,0.33737525998701273,0.8788909897329058,149.99956434438755,0.24873506198585105,0.0,✓
Bilozers'kyi,Kherson,0.31584004163634394,0.99,149.99992496377297,0.36784364070023556,0.0,✓
Krasnoarmiis'ka,Donets'k,0.30947256451438104,0.7456830777720449,150.02673888817935,0.12228724850175895,4.957894467028101e-06,✓
Iziums'kyi,Kharkiv,0.30504589104862245,0.5913691345146335,149.99996782022527,0.0867615285739668,0.0008939002830460896,✓
Ordzhonikidzevs'ka,Dnipropetrovs'k,0.28770041068198626,0.01,150.00034093995077,0.09823908605349238,0.0012885605817292145,✓
Bohodukhivs'kyi,Kharkiv,0.2714131475579507,0.5450488726954408,149.999774141388,0.07425411323407384,0.0023093597531861354,✓
Vovchans'kyi,Kharkiv,0.2586964151688804,0.9789922116239647,149.99873543657702,0.3384376582746894,0.0,✓
Vasylivs'kyi,Zaporizhia,0.2542014890982248,0.9731768273851328,149.99992602644886,0.33033854772055987,0.0,✓
Maki‹vs'ka,Donets'k,0.2397291430456288,0.8750273511408042,149.98834042959007,0.17716951912602824,1.0128040178747355e-06,✓
Krasnopil's'kyi,Sumy,0.21585163093309723,0.99,149.9997174804448,0.27831378497382997,0.0,✓
Mykhailivs'kyi,Zaporizhia,0.2137288761916327,0.44732139657153824,149.99992499773185,0.10214073713682076,0.00012685801915779393,✓
Krasnolymans'kyi,Donets'k,0.21219823360679038,0.9731741242734665,149.99971049112,0.2390900882011467,0.0,✓
Dzerzhyns'ka,Donets'k,0.18806411714402016,0.9712515547002445,149.99988556221973,0.1830761746784259,9.2148511043888e-15,✓
Iasynuvats'ka,Donets'k,0.18518025154657763,0.6770592316618746,149.99995699333442,0.03047933876519145,0.16711172937912505,
Koriukivs'kyi,Chernihiv,0.1807298005848823,0.4511455236361981,150.0002266635224,0.07139446254684823,0.00928163740559046,✓
Okhtyrs'kyi,Sumy,0.17713926043390663,0.15170401913917805,149.99975119836722,0.035164885885613964,0.08721152585709474,
Mezhivs'kyi,Dnipropetrovs'k,0.17144495573233212,0.6758024756991255,150.00670911321436,0.2555094864450932,4.782119145119168e-12,✓
Amvrosi‹vs'kyi,Donets'k,0.16361617563516792,0.01,150.00083100749998,0.04968400753834461,0.026215400802878985,✓
Khersons'ka,Kherson,0.15193711587507144,0.99,149.99994590006486,0.4625658593199325,0.0,✓
Sums'kyi,Sumy,0.14849712839275345,0.99,149.90090145915323,0.22361465700182395,0.0,✓
Starobeshivs'kyi,Donets'k,0.13940287375151866,0.01,150.0010698487939,0.02203597486875374,0.5,
Kremenchuts'ka,Poltava,0.13486718589366942,0.01,150.0003156372659,0.0050306885067014475,0.5,
Novovorontsovs'kyi,Kherson,0.13361446121877674,0.985136096727087,149.99974080265375,0.255376305284063,0.0,✓
Holoprystans'kyi,Kherson,0.13255653406880566,0.8970044310589206,149.99431058156514,0.1267641414220604,5.770394001514134e-08,✓
Kamians'ko-Dniprovs'kyi,Zaporizhia,0.13251115623955953,0.892747332723025,137.02641798064735,0.16309637710364236,2.4700902434560135e-10,✓
Velykooleksandrivs'kyi,Kherson,0.12965907454523604,0.9401647936303459,149.99984357219785,0.18332374484976863,0.0,✓
Pecheniz'kyi,Kharkiv,0.12737329059680097,0.5429054568057593,150.00017449637346,0.09747020953216104,0.0011914702876854588,✓
Heniches'kyi,Kherson,0.12394718113813935,0.01,150.0000510801416,0.061374486107787625,0.031414508700689625,✓
Velykopysarivs'kyi,Sumy,0.11988469613938071,0.99,149.99516180351833,0.2538582512110149,0.0,✓
Velykolepetys'kyi,Kherson,0.11348715340027024,0.6547787653417826,150.00120459390087,0.08760341147427152,0.00016698539570830784,✓
Bilopils'kyi,Sumy,0.10502471335919296,0.99,16.97346894541587,0.2542454964266678,0.0,✓
Nakhimovs'kyi,Sevastopol',0.10399680886517,0.581558699923701,150.00002968750255,0.0229482063547945,0.14148775156263438,
Starobil's'kyi,Luhans'k,0.1012417348222804,0.01,150.00158606389846,0.045998424961802925,0.03861037098018405,✓
Dobropil's'ka,Donets'k,0.09215347969696112,0.7524899971285007,150.01306972514598,0.10334065373310067,0.0005363408728005226,✓
Vil'nians'kyi,Zaporizhia,0.09170698917959562,0.6794820251258162,150.00000235154153,0.02436218484741427,0.10208059355938981,
Polohivs'kyi,Zaporizhia,0.08762447495790829,0.9353468931401921,149.9991990484515,0.1191492389695845,2.8951708017643796e-06,✓
Kremins'kyi,Luhans'k,0.08747063651930549,0.9865238475152318,149.99714296380918,0.3124601085442702,0.0,✓
Bashtans'kyi,Mykolayiv,0.08571044276593691,0.8696316481343223,149.9993840483235,0.09354507116355944,0.00019055087987468466,✓
Nikopol's'kyi,Dnipropetrovs'k,0.082591528628404,0.99,150.20446326595112,0.3479478062653276,0.0,✓
Novotro‹ts'kyi,Kherson,0.08200823292121488,0.01,150.00076477774556,0.023825380747568587,0.5,
Konotops'kyi,Sumy,0.07902095494116401,0.7228696813942397,149.99869893005967,0.05955538265759249,0.010634772779589186,✓
Fastivs'ka,Kiev,0.07771557831568464,0.01,149.99908660576895,0.07128055964938304,0.029922347501475544,✓
Novhorod-Sivers'kyi,Chernihiv,0.07336042959918922,0.99,149.99808706330109,0.29099946473299604,0.0,✓
Krasnohrads'kyi,Kharkiv,0.0723611744676162,0.01,150.0011632622611,0.04623838797366653,0.05908480884556716,
Ievpatoriis'ka,Crimea,0.07205843576735463,0.07575783971101845,150.0003900128135,0.01259555128157433,0.2686761831512996,
Shyrokivs'kyi,Dnipropetrovs'k,0.0713089766914447,0.6225006248587405,149.9999749368945,0.04100179920895148,0.07858296014238575,
Svativs'kyi,Luhans'k,0.07014852243616647,0.9880768924687913,149.3784137467841,0.32570483198546957,0.0,✓
Petrykivs'kyi,Dnipropetrovs'k,0.06997357257225485,0.043160323609624685,150.00090480892547,0.044371906541017324,0.046768573852142226,✓
Shevchenkivs'kyi,Kharkiv,0.06856328874906456,0.8028142018458788,150.00005885832212,0.0422600206100356,0.043278304377643184,✓
Krasnolymans'ka,Donets'k,0.06506299022974094,0.36079005923849783,150.0007710224247,0.012247456454442638,0.2827760088137964,
Voznesens'kyi,Mykolayiv,0.06299612606955211,0.01,149.99981145262757,0.053023640964704265,0.05931253545116355,
Hornosta‹vs'kyi,Kherson,0.06282669910452676,0.01,150.00089892807208,0.07325078197063407,0.02214343842926636,✓
Kupians'kyi,Kharkiv,0.061539809117202415,0.9891193988948889,10.0,0.5596413117883399,0.0,✓
Cherkas'ka,Cherkasy,0.06150413682166551,0.7921277160170043,149.99959916475237,0.07331142379800071,0.0034092600494302072,✓
Zmiïvs'kyi,Kharkiv,0.059948348955559526,0.6134810197825533,150.00009355568622,0.02593689555813921,0.16294739814321652,
Oleksandrivs'kyi,Donets'k,0.05906637225838648,0.4934737138849222,150.0004514970765,0.04952599860463507,0.0515220690852069,
Zaporiz'ka,Zaporizhia,0.058730406281295576,0.9603588233235388,150.00000937839863,0.1117744387343854,6.135841644033802e-05,✓
Chernihivs'kyi,Zaporizhia,0.05833000766215594,0.40235229956401086,150.00128004080625,0.048649228119066766,0.03926761437130938,✓
Rozivs'kyi,Zaporizhia,0.057798853778549104,0.01,150.00197037872098,0.04695792471819509,0.05658567041402068,
Roven'kivs'ka,Luhans'k,0.057496350044747645,0.01,150.00215156704792,-0.0013533114356964891,0.5,
Desnians'kyi,Kiev City,0.05585878009322114,0.27010588257923923,149.99962052154436,0.04897087241954814,0.0757698215912655,
Ochakivs'kyi,Mykolayiv,0.05466775167360376,0.99,149.99676527905584,0.28033829364346513,0.0,✓
Krolevets'kyi,Sumy,0.05416744613472451,0.7657122266730064,149.99973278686335,0.038306527220031285,0.0535002257003816,
Shakhtars'ka,Donets'k,0.05354680118563333,0.20202372771547983,150.00127820699637,0.016559718234394883,0.20104660914661976,
Bilhorod-Dnistrovs'ka,Odessa,0.05025845620799933,0.33251028645336456,149.99978048909782,0.06492506536190933,0.029189490334356027,✓
Ripkyns'kyi,Chernihiv,0.04998258853385322,0.01,149.99993655425044,0.03725758893003234,0.1635091386994738,
Romens'ka,Sumy,0.04827735069914403,0.01,150.00062395708935,0.030100224224534483,0.20419001608850135,
Borivs'kyi,Kharkiv,0.04452712879748773,0.9854942403862743,151.70675500855486,0.17506534466903717,0.0,✓
Kupians'ka,Kharkiv,0.04408705482479898,0.9891971530450417,149.99993510144574,0.3211959316929487,0.0,✓
Iampil's'kyi,Sumy,0.04354361082673555,0.99,149.99876890396084,0.24717029975492621,0.0,✓
n.a. ( 511),Donets'k,0.04133519640855927,0.27090537851160873,150.00122146627893,0.021601431190785614,0.1454580412612137,
Stryis'kyi,L'viv,0.03889311528639131,0.01,149.99714546785484,0.013163797788782147,0.23797162935959787,
Novoodes'kyi,Mykolayiv,0.03864127395118692,0.01,150.00003611394993,0.04165332382428638,0.11973285004322465,
Novobuz'kyi,Mykolayiv,0.038621302172046505,0.01,150.00032272250843,0.0271564088725691,0.14006868756445146,
Kalanchats'kyi,Kherson,0.03856894252451042,0.01,150.00068712705902,0.01886011349711134,0.17200734842450632,
Marhanets'ka,Dnipropetrovs'k,0.03800507721622366,0.99,150.00006428651074,0.33909542690412364,0.0,✓
Reniis'kyi,Odessa,0.03476158204839582,0.10683546012970152,149.999208424969,0.0709852862074881,0.03597094028556913,✓
Krasnohvardiis'kyi,Crimea,0.03373266639184269,0.01,150.00107987054227,0.05111656314482249,0.07349495532248207,
Verkhn'orohachyts'kyi,Kherson,0.03371842722971997,0.01,150.00127354752323,0.05273624022349819,0.06311030805193185,
Romens'kyi,Sumy,0.03369090574112068,0.01,150.00052859774092,0.01722158939878174,0.3368847227946138,
Obukhivs'kyi,Kiev,0.031628548947419094,0.01,149.99990540294402,0.033976708830418124,0.2230237723977287,
Novoazovs'kyi,Donets'k,0.030920261967856775,0.34956601065019766,150.0000588560588,0.02574763779133026,0.24502639868367654,
Kozelets'kyi,Chernihiv,0.029527433652588943,0.5431014538875146,149.99993896847116,0.019891015523923968,0.2489701773248965,
Prymors'kyi,Zaporizhia,0.028811445737107172,0.01,150.00182378527361,0.032510221874296905,0.12919045418298675,
Varvyns'kyi,Chernihiv,0.028720680310256312,0.01,150.00019499697856,0.019157948579920137,0.23164095970231618,
Velykoburluts'kyi,Kharkiv,0.028496743631332658,0.9898642976316973,258.162129630291,0.2295830842797299,0.0,✓
Synel'nykivs'kyi,Dnipropetrovs'k,0.02784437042236317,0.8926882080361038,150.00007467962365,0.053457408579993995,0.0539559389741891,
Izma‹l's'ka,Odessa,0.027776198147074112,0.7351125734240994,149.99974110277853,0.05553516803172036,0.0630591270256366,
Horodnians'kyi,Chernihiv,0.027384650590979758,0.9788139652964661,149.99978350724697,0.08807169669181868,0.00032218621043894613,✓
Kazanetskyi,Mykolayiv,0.025782599277220836,0.7719451593370616,150.000261295369,0.12605223062445411,0.0017551643115453208,✓
Alchevs'ka,Luhans'k,0.025200424856655173,0.77588508152285,150.00125481383904,0.05696358779413826,0.02480096756970729,✓
Kulykivs'kyi,Chernihiv,0.02496179878390248,0.14780883825846103,149.99976907325427,0.10751318898293198,0.02069834121850861,✓
Zvenyhorods'kyi,Cherkasy,0.024079546997805654,0.01,149.99938352187726,0.03624703449629342,0.12160938629003054,
Tomakivs'kyi,Dnipropetrovs'k,0.024031575188778465,0.99,155.37670039741394,0.16395905402610247,1.1762812945903534e-13,✓
Bakhchysarais'kyi,Crimea,0.024025664100689206,0.01,150.0008427314622,0.033176900734494974,0.15229663526724013,
Kirovs'kyi,Crimea,0.024016638081645284,0.01,150.00136112557783,0.036542582208665894,0.11080194152552059,
Veselivs'kyi,Zaporizhia,0.024003054922002484,0.01,150.00132728133917,0.037547318386168795,0.11292636661744648,
Boryspil's'ka,Kiev,0.023861253918924245,0.7147750761329813,149.99867962803904,0.11217138614321756,0.005318211905833425,✓
Odes'ka,Odessa,0.02278220593430012,0.6930384284074025,149.99999964327108,-0.03962903434295328,0.5,
Petropavlivs'kyi,Dnipropetrovs'k,0.022718069715473795,0.5336364734185518,150.0019155742202,0.06724660913280645,0.03020628160950939,✓
Holosiïvs'kyi,Kiev City,0.02228542407906542,0.6457424176658328,149.99994872311598,0.02137192950220726,0.25521169911811514,
n.a. ( 394),Donets'k,0.021724934241340036,0.99,27.89456351253854,0.335922757163574,0.0,✓
Trostianets'kyi,Vinnytsya,0.02100538088381475,0.24758946667747864,149.99917054332755,0.005037197723158884,0.358901078045558,
Bakhmats'kyi,Chernihiv,0.020416594340344815,0.30723977483189835,149.9999160474451,0.005108707113888691,0.3912347697507099,
Tokmats'kyi,Zaporizhia,0.01971241120358425,0.99,149.99743427653775,0.25866172690491723,0.0,✓
Smilians'kyi,Cherkasy,0.019164168090243364,0.01,149.99985027690082,0.01637530077969921,0.2815361399765509,
