Region,Days,Total Events,Mean Daily,mu,alpha,beta,Branching Ratio,p-value
Palestine-Israel,613,"47,423",77.36,1.9604,0.4997,0.4728,0.9478,0.000000
Russia-Ukraine,1203,"128,725",107.00,0.7934,0.1140,0.8795,0.9454,0.000000
